train_accuracy,test_accuracy,train_loss,test_loss,model,epochs
56.39,68.975,0.7891432471275329,0.6958435277938843,cnn_4cls_128dim_0.5,1
69.085,70.725,0.5605895424842835,0.6070143160820007,cnn_4cls_128dim_0.5,2
72.81,73.875,0.49212850079536435,0.560023699760437,cnn_4cls_128dim_0.5,3
75.145,79.7,0.45479658274650575,0.46537639427185057,cnn_4cls_128dim_0.5,4
76.915,80.675,0.4398589702606201,0.4511914086341858,cnn_4cls_128dim_0.5,5
78.59,81.35,0.40783592357635495,0.43385518169403076,cnn_4cls_128dim_0.5,6
80.125,81.225,0.38652418313026426,0.44683760261535643,cnn_4cls_128dim_0.5,7
81.045,81.675,0.37665321826934817,0.43019676542282104,cnn_4cls_128dim_0.5,8
81.61,83.4,0.3657748212814331,0.398393227815628,cnn_4cls_128dim_0.5,9
82.77,83.875,0.3450267783164978,0.39663927364349366,cnn_4cls_128dim_0.5,10
82.82,81.825,0.339666091632843,0.4290975680351257,cnn_4cls_128dim_0.5,11
83.51,84.85,0.3297710857391357,0.3694735026359558,cnn_4cls_128dim_0.5,12
