train_accuracy,test_accuracy,train_loss,test_loss,model,epochs
58.53,68.625,1.0334714130401612,0.6694078540802002,resnet18_4cls_64dim_1,1
68.7,70.55,0.7372954079151154,0.6327331848144532,resnet18_4cls_64dim_1,2
73.485,74.325,0.61366088514328,0.534893669128418,resnet18_4cls_64dim_1,3
76.185,77.675,0.5455803518295288,0.553684536933899,resnet18_4cls_64dim_1,4
80.4,78.875,0.49011355323791506,0.5239021921157837,resnet18_4cls_64dim_1,5
81.52,77.35,0.4538837540626526,0.5293170652389526,resnet18_4cls_64dim_1,6
83.755,85.575,0.4105871859550476,0.36274755907058714,resnet18_4cls_64dim_1,7
85.0,82.925,0.37442378854751585,0.40015316581726074,resnet18_4cls_64dim_1,8
86.695,84.775,0.3442530345916748,0.37301260995864866,resnet18_4cls_64dim_1,9
87.17,85.025,0.3332383551597595,0.3604726512432098,resnet18_4cls_64dim_1,10
88.22,84.5,0.30088846476078035,0.39876247096061707,resnet18_4cls_64dim_1,11
88.635,88.325,0.2885731239318848,0.31733839201927183,resnet18_4cls_64dim_1,12
