train_accuracy,test_accuracy,train_loss,test_loss,model,epochs
55.65,65.1,0.7658568521499634,0.7314706287384033,cnn_4cls_128dim_0.5,1
68.395,69.55,0.5419232627868652,0.6603156518936157,cnn_4cls_128dim_0.5,2
72.285,72.825,0.48353204364776614,0.5830716361999512,cnn_4cls_128dim_0.5,3
75.81,76.975,0.4414675271987915,0.5245021772384644,cnn_4cls_128dim_0.5,4
78.74,77.025,0.3922613952636719,0.5279509139060974,cnn_4cls_128dim_0.5,5
80.195,79.475,0.3702327879905701,0.47470509815216066,cnn_4cls_128dim_0.5,6
82.19,80.05,0.34028530106544497,0.46268845844268797,cnn_4cls_128dim_0.5,7
84.17,81.125,0.31371247129440305,0.44211711502075196,cnn_4cls_128dim_0.5,8
85.205,80.675,0.2939140492200851,0.46178616428375246,cnn_4cls_128dim_0.5,9
86.41,82.575,0.2732214574337006,0.42014978885650633,cnn_4cls_128dim_0.5,10
87.82,82.175,0.25207521166801455,0.43230543947219846,cnn_4cls_128dim_0.5,11
88.76,81.875,0.23817417306900024,0.4552269940376282,cnn_4cls_128dim_0.5,12
