train_accuracy,test_accuracy,train_loss,test_loss,model,epochs
62.265,71.0,0.9447753561019897,0.6448758459091186,cnn_4cls_128dim_1,1
73.525,72.9,0.6769453012466431,0.5670449743270874,cnn_4cls_128dim_1,2
77.495,77.0,0.5868301853656769,0.5118687067031861,cnn_4cls_128dim_1,3
80.36,79.225,0.5337389011383057,0.4858872575759888,cnn_4cls_128dim_1,4
81.585,80.85,0.5074237312316895,0.4454523100852966,cnn_4cls_128dim_1,5
83.36,81.0,0.4772591113090515,0.43456271171569827,cnn_4cls_128dim_1,6
84.755,82.65,0.4423720856189728,0.4053818745613098,cnn_4cls_128dim_1,7
85.68,82.775,0.41200791573524476,0.41375524950027465,cnn_4cls_128dim_1,8
86.52,82.825,0.3933930763244629,0.40705065202713014,cnn_4cls_128dim_1,9
86.94,83.875,0.3795607358932495,0.3912920048236847,cnn_4cls_128dim_1,10
87.995,83.825,0.35843062777519225,0.40999305748939513,cnn_4cls_128dim_1,11
89.08,84.8,0.3371050450325012,0.3943022646903992,cnn_4cls_128dim_1,12
