train_accuracy,test_accuracy,train_loss,test_loss,model,epochs
57.885,66.725,1.0442005779266357,0.6813610544204712,cnn_4cls_128dim_1,1
67.77,71.0,0.7814067243576049,0.597942289352417,cnn_4cls_128dim_1,2
72.145,75.475,0.7046508346557617,0.5525701522827149,cnn_4cls_128dim_1,3
74.64,78.4,0.6496160387039185,0.49297801685333253,cnn_4cls_128dim_1,4
76.525,76.875,0.619638550567627,0.5416948232650757,cnn_4cls_128dim_1,5
77.965,80.95,0.5911788389205933,0.4497293195724487,cnn_4cls_128dim_1,6
79.29,81.975,0.5687881669998169,0.4262455720901489,cnn_4cls_128dim_1,7
80.08,80.475,0.5492115487098694,0.45540887212753295,cnn_4cls_128dim_1,8
80.22,82.7,0.5419992803573609,0.4061916334629059,cnn_4cls_128dim_1,9
81.08,81.05,0.5219927330970764,0.4652642035484314,cnn_4cls_128dim_1,10
82.235,82.8,0.5022321400165558,0.4089382586479187,cnn_4cls_128dim_1,11
82.68,83.7,0.48201749048233034,0.3888235421180725,cnn_4cls_128dim_1,12
