train_accuracy,test_accuracy,train_loss,test_loss,model,epochs
59.76,59.875,1.2438723342895508,0.8555900673866272,resnet18_4cls_64dim_1.5,1
68.17,69.7,0.9025961230278016,0.7104319143295288,resnet18_4cls_64dim_1.5,2
73.005,72.675,0.7853566009044647,0.6615063524246216,resnet18_4cls_64dim_1.5,3
76.43,74.45,0.7213433208465576,0.5428118305206299,resnet18_4cls_64dim_1.5,4
78.835,80.875,0.6503097478866577,0.45978135061264036,resnet18_4cls_64dim_1.5,5
81.475,79.55,0.5717658751487732,0.47723046112060546,resnet18_4cls_64dim_1.5,6
82.955,83.775,0.5302437715530396,0.3893032178878784,resnet18_4cls_64dim_1.5,7
84.39,85.225,0.48676100664138794,0.3660043284893036,resnet18_4cls_64dim_1.5,8
85.57,85.5,0.4617247094154358,0.3608936851024628,resnet18_4cls_64dim_1.5,9
86.29,85.45,0.4330507537841797,0.3612774758338928,resnet18_4cls_64dim_1.5,10
87.515,86.075,0.39519370908737184,0.3426437258720398,resnet18_4cls_64dim_1.5,11
88.13,87.525,0.3848058258056641,0.3330506706237793,resnet18_4cls_64dim_1.5,12
