train_accuracy,test_accuracy,train_loss,test_loss,model,epochs
53.67,60.85,1.3721482028961183,0.836741174697876,cnn_4cls_128dim_1.5,1
65.77,69.2,1.0317447074890136,0.6519714298248291,cnn_4cls_128dim_1.5,2
70.62,70.825,0.9174742209434509,0.6268518571853637,cnn_4cls_128dim_1.5,3
74.05,74.0,0.8195451215744018,0.5872240333557129,cnn_4cls_128dim_1.5,4
76.475,73.725,0.7661446960449219,0.5763971557617188,cnn_4cls_128dim_1.5,5
78.79,78.2,0.7117913340091705,0.49570990753173827,cnn_4cls_128dim_1.5,6
80.34,79.9,0.6748126976013183,0.4571993663311005,cnn_4cls_128dim_1.5,7
81.835,80.575,0.6376456434726715,0.44879992461204526,cnn_4cls_128dim_1.5,8
82.575,80.75,0.6122232665061951,0.4661923394203186,cnn_4cls_128dim_1.5,9
83.705,80.725,0.5784372545719146,0.457538562297821,cnn_4cls_128dim_1.5,10
84.37,81.625,0.5617300685882568,0.44727842473983764,cnn_4cls_128dim_1.5,11
85.34,82.425,0.5273703133583069,0.416342896938324,cnn_4cls_128dim_1.5,12
