train_accuracy,test_accuracy,train_loss,test_loss,model,epochs
57.715,66.95,1.0439421754837037,0.711809790611267,cnn_4cls_128dim_1,1
68.425,72.175,0.7666232313156128,0.6074586043357849,cnn_4cls_128dim_1,2
71.81,73.95,0.6875648440361023,0.5829655637741089,cnn_4cls_128dim_1,3
75.255,73.575,0.6290915065765381,0.5990676431655884,cnn_4cls_128dim_1,4
77.51,77.675,0.5945726354598999,0.5019136347770691,cnn_4cls_128dim_1,5
79.14,79.55,0.5464991319656372,0.47861614799499513,cnn_4cls_128dim_1,6
81.005,79.675,0.5138566779136657,0.4735175805091858,cnn_4cls_128dim_1,7
82.035,80.55,0.4893001825332642,0.46484605979919436,cnn_4cls_128dim_1,8
83.405,78.875,0.46513425874710085,0.49742569732666014,cnn_4cls_128dim_1,9
84.665,81.175,0.4390711364746094,0.46352000498771667,cnn_4cls_128dim_1,10
85.54,82.5,0.4185022572994232,0.433806765794754,cnn_4cls_128dim_1,11
86.455,82.275,0.39215215787887575,0.44083085441589354,cnn_4cls_128dim_1,12
